catalog_version,id,category,artist,title,album,selected,source_type,source,rights_confirmed,status,notes
original-50-v1,01,01_爸媽懷舊國語,鄧麗君,月亮代表我的心,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,02,01_爸媽懷舊國語,鄧麗君,我只在乎你,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,03,01_爸媽懷舊國語,鄧麗君,甜蜜蜜,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,04,01_爸媽懷舊國語,鄧麗君,小城故事,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,05,01_爸媽懷舊國語,鄧麗君,千言萬語,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,06,01_爸媽懷舊國語,費玉清,一剪梅,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,07,01_爸媽懷舊國語,費玉清,夢駝鈴,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,08,01_爸媽懷舊國語,蔡琴,被遺忘的時光,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,09,01_爸媽懷舊國語,蔡琴,恰似你的溫柔,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,10,01_爸媽懷舊國語,蔡琴,你的眼神,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,11,02_台語經典,江蕙,家後,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,12,02_台語經典,江蕙,惜別的海岸,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,13,02_台語經典,江蕙,酒後的心聲,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,14,02_台語經典,江蕙,甲你攬牢牢,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,15,02_台語經典,江蕙,博杯,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,16,02_台語經典,葉啟田,愛拼才會贏,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,17,02_台語經典,葉啟田,浪子的心情,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,18,02_台語經典,陳雷,歡喜就好,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,19,02_台語經典,蔡秋鳳,金包銀,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,20,02_台語經典,黃乙玲,海波浪,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,21,03_90年代至千禧經典,任賢齊,心太軟,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
